id	status	category	word_en	part_of_speech	syllables	primary_stress_syllable	stress_vowel_spelling	cv_id	phonetic_spelling	question	decision_note	decided_by	decided_date	registered_date	source
CVR-0038	pending	R音化母音	shareholder	NOUN	share-hold-er	1	a	red_pepper	/ˈʃɛrhoʊldər/	R音化母音 /ɛr/ の cv_id 要確認（red_pepper / gray_day）				2026-09-25	cv_dict_work_20260925_full
CVR-0039	pending	発音の揺れ	software	NOUN	soft-ware	1	o	auburn_dog	/ˈsɔːftwɛr/	米国では /ˈsɑːftwɛr/（olive_sock）も一般的				2026-09-25	cv_dict_work_20260925_full
CVR-0040	pending	R音化母音	steering	NOUN	steer-ing	1	ee	green_tea	/ˈstɪrɪŋ/	R音化母音 /ɪr/ の cv_id 要確認（green_tea / silver_pin）				2026-09-25	cv_dict_work_20260925_full
CVR-0041	pending	発音の揺れ	strong	ADJ	strong	1	o	auburn_dog	/strɔːŋ/	米国では /strɑːŋ/（olive_sock）も一般的				2026-09-25	cv_dict_work_20260925_full
CVR-0042	pending	R音化母音	their	PRON	their	1	ei	red_pepper	/ðɛr/	R音化母音 /ɛr/ の cv_id 要確認（red_pepper / gray_day）				2026-09-25	cv_dict_work_20260925_full
CVR-0043	pending	R音化母音	there	ADV	there	1	e	red_pepper	/ðɛr/	R音化母音 /ɛr/ の cv_id 要確認（red_pepper / gray_day）				2026-09-25	cv_dict_work_20260925_full
CVR-0044	pending	アクセント位置の揺れ	upload	VERB	up-load	1	u	cup_of_mustard	/ˈʌploʊd/	/ʌpˈloʊd/（2音節目にアクセント・rose_boat）も一般的				2026-09-25	cv_dict_work_20260925_full
CVR-0045	pending	発音の揺れ	want	VERB	want	1	a	olive_sock	/wɑːnt/	/wʌnt/（cup_of_mustard）も一般的				2026-09-25	cv_dict_work_20260925_full
CVR-0046	pending	R音化母音	where	ADV	where	1	e	red_pepper	/wɛr/	R音化母音 /ɛr/ の cv_id 要確認（red_pepper / gray_day）				2026-09-25	cv_dict_work_20260925_full
CVR-0047	pending	R音化母音	year	NOUN	year	1	ea	green_tea	/jɪr/	R音化母音 /ɪr/ の cv_id 要確認（green_tea / silver_pin）				2026-09-25	cv_dict_work_20260925_full
CVR-0048	pending	R音化母音	year's	NOUN	year's	1	ea	green_tea	/jɪrz/	R音化母音 /ɪr/ の cv_id 要確認（green_tea / silver_pin）				2026-09-25	cv_dict_work_20260925_full
